Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,start_date,days
Arizona,US,2020-06-08 03:33:42,33.7298,-111.4312,26989,1051,5517.0,20421.0,4.0,370.7933692160308,281621.0,3352.0,3.8941791100077814,84000004.0,USA,3869.102205787091,12.419874763792656,2020-04-12,57
California,US,2020-06-08 03:33:42,36.1162,-119.6816,130615,4632,,125983.0,6.0,330.56859392598585,2362218.0,,3.546300195230257,84000006.0,USA,5978.4487448352365,,2020-04-12,57
Florida,US,2020-06-08 03:33:42,27.7663,-81.6868,63938,2700,,61238.0,12.0,297.69430550341497,1216158.0,11215.0,4.2228408770996895,84000012.0,USA,5662.412199199572,17.54042979136038,2020-04-12,57
Georgia,US,2020-06-08 03:33:42,33.0406,-83.6431,51898,2180,,49718.0,13.0,488.80034260667577,539884.0,8685.0,4.200547227253459,84000013.0,USA,5084.887359201945,16.734748930594627,2020-04-12,57
Illinois,US,2020-06-08 03:33:42,40.3495,-88.9861,127757,5904,,121853.0,17.0,1008.1976378927699,1042774.0,,4.621273198337469,84000017.0,USA,8229.077730817062,,2020-04-12,57
New Jersey,US,2020-06-08 03:33:42,40.2989,-74.521,164164,12176,27824.0,124164.0,34.0,1848.237878271012,960425.0,18050.0,7.416973270631808,84000034.0,USA,10812.930144480131,10.995102458517092,2020-04-12,57
New York,US,2020-06-08 03:33:42,42.1657,-74.9481,378097,30374,67544.0,280179.0,36.0,1943.5876033184875,2497842.0,89995.0,8.033388257510639,84000036.0,USA,12840.024507595293,23.80209311367189,2020-04-12,57
North Carolina,US,2020-06-08 03:33:42,35.6301,-79.8064,35625,1032,18860.0,15733.0,37.0,339.67119256481925,511226.0,,2.896842105263158,84000037.0,USA,4874.350739372416,,2020-04-12,57
Texas,US,2020-06-08 03:33:42,31.0545,-97.5635,75408,1841,49758.0,23809.0,48.0,260.0645243370946,1100446.0,,2.4413855293868023,84000048.0,USA,3795.1804257990993,,2020-04-12,57
Arizona,US,2020-06-07 03:53:50,33.7298,-111.4312,25451,1043,5399.0,19009.0,4.0,349.6632717002187,271646.0,3320.0,4.09807080271895,84000004.0,USA,3732.058823004109,13.044674079603947,2020-04-12,56
California,US,2020-06-07 03:53:50,36.1162,-119.6816,128593,4607,,123986.0,6.0,325.45119012919116,2308300.0,,3.5818434907032266,84000006.0,USA,5841.989705312201,,2020-04-12,56
Florida,US,2020-06-07 03:53:50,27.7663,-81.6868,62758,2688,,60070.0,12.0,292.20024437397666,1174185.0,11163.0,4.28311928359731,84000012.0,USA,5466.986582431846,17.787373721278566,2020-04-12,56
Georgia,US,2020-06-07 03:53:50,33.0406,-83.6431,51359,2178,,49181.0,13.0,483.7237811849448,522857.0,8662.0,4.240736774469909,84000013.0,USA,4924.518878074275,16.865593177437255,2020-04-12,56
Illinois,US,2020-06-07 03:53:50,40.3495,-88.9861,126890,5864,,121026.0,17.0,1001.3556851852626,1022074.0,,4.6213255575695475,84000017.0,USA,8065.723150603217,,2020-04-12,56
New Jersey,US,2020-06-07 03:53:50,40.2989,-74.521,163893,12106,27641.0,124146.0,34.0,1845.186828923948,919448.0,18023.0,7.386526575265568,84000034.0,USA,10351.591217931613,10.996808893607415,2020-04-12,56
New York,US,2020-06-07 03:53:50,42.1657,-74.9481,377316,30280,67261.0,279775.0,36.0,1939.572914182653,2437407.0,89995.0,8.025103626668363,84000036.0,USA,12529.361590919008,23.851360663210677,2020-04-12,56
North Carolina,US,2020-06-07 03:53:50,35.6301,-79.8064,34718,1028,18860.0,14830.0,37.0,331.02328318499355,497350.0,,2.961000057607005,84000037.0,USA,4742.0482139540445,,2020-04-12,56
Texas,US,2020-06-07 03:53:50,31.0545,-97.5635,74470,1833,48895.0,23742.0,48.0,256.8295821051273,1093277.0,,2.461393849872432,84000048.0,USA,3770.4562244547774,,2020-04-12,56
Arizona,US,2020-08-21 04:30:30,33.7298,-111.4312,196280,4684,28471.0,163125.0,4.0,2696.6290899893484,1118443.0,21143.0,2.3863867943753823,84000004.0,USA,15365.936057137542,10.771856531485634,2020-04-12,131
California,US,2020-08-21 04:30:30,36.1162,-119.6816,652267,11810,,640457.0,6.0,1650.798032801141,10227966.0,,1.8106082325182784,84000006.0,USA,25885.574699251923,,2020-04-12,131
Florida,US,2020-08-21 04:30:30,27.7663,-81.6868,588602,10049,,578553.0,12.0,2740.521499075997,4335752.0,36070.0,1.7072656905684995,84000012.0,USA,20187.19197464798,6.128079755080682,2020-04-12,131
Georgia,US,2020-08-21 04:30:30,33.0406,-83.6431,246741,4904,,241837.0,13.0,2323.9254949152914,2096835.0,22880.0,1.9875091695340457,84000013.0,USA,19749.001240696543,9.272881280370916,2020-04-12,131
Illinois,US,2020-08-21 04:30:30,40.3495,-88.9861,215052,8044,,207008.0,17.0,1697.0883663839636,3542515.0,,3.740490672023512,84000017.0,USA,27955.84786117165,,2020-04-12,131
New Jersey,US,2020-08-21 04:30:30,40.2989,-74.521,188527,15932,33490.0,139105.0,34.0,2122.5283404205493,2585207.0,22359.0,8.450778933521459,84000034.0,USA,29105.51339253045,11.859839704657688,2020-04-12,131
New York,US,2020-08-21 04:30:30,42.1657,-74.9481,427803,32861,74406.0,320536.0,36.0,2199.0986637356523,7353387.0,89995.0,7.6813393080459935,84000036.0,USA,37799.696415478895,21.036551870837744,2020-04-12,131
North Carolina,US,2020-08-21 04:30:30,35.6301,-79.8064,149904,2465,127749.0,19690.0,37.0,1429.2791705329596,2003307.0,,1.6443857402070658,84000037.0,USA,19100.79095476352,,2020-04-12,131
Texas,US,2020-08-21 04:30:30,31.0545,-97.5635,579892,11174,431960.0,136758.0,48.0,1999.9116426226199,4547069.0,,1.926910528167314,84000048.0,USA,15681.775628752237,,2020-04-12,131
Arizona,US,2020-08-22 04:30:29,33.7298,-111.4312,196899,4688,28731.0,163480.0,4.0,2705.133335998639,1127988.0,21210.0,2.380916104195552,84000004.0,USA,15497.071805374491,10.772020172778936,2020-04-12,132
California,US,2020-08-22 04:30:29,36.1162,-119.6816,658900,11946,,646954.0,6.0,1667.5852431790536,10329372.0,,1.8130217028380635,84000006.0,USA,26142.21933298969,,2020-04-12,132
Florida,US,2020-08-22 04:30:29,27.7663,-81.6868,593286,10168,,583118.0,12.0,2762.330128169462,4367212.0,36425.0,1.7138445876019324,84000012.0,USA,20333.669231539618,6.1395347269276535,2020-04-12,132
Georgia,US,2020-08-22 04:30:29,33.0406,-83.6431,249630,4998,,244632.0,13.0,2351.135487396518,2120102.0,23125.0,2.0021632015382766,84000013.0,USA,19968.14104514815,9.26371029123102,2020-04-12,132
Illinois,US,2020-08-22 04:30:29,40.3495,-88.9861,217345,8066,,209279.0,17.0,1715.1836346173136,3594336.0,,3.711150475051186,84000017.0,USA,28364.794610024877,,2020-04-12,132
New Jersey,US,2020-08-22 04:30:29,40.2989,-74.521,188817,15941,33533.0,139343.0,34.0,2125.7933009764483,2615692.0,22393.0,8.442566082503165,84000034.0,USA,29448.728297863487,11.859631283200136,2020-04-12,132
New York,US,2020-08-22 04:30:29,42.1657,-74.9481,428512,32864,74485.0,321163.0,36.0,2202.7432406848293,7452267.0,89995.0,7.669330147113732,84000036.0,USA,38307.98381848958,21.00174557538645,2020-04-12,132
North Carolina,US,2020-08-22 04:30:29,35.6301,-79.8064,151910,2494,127749.0,21667.0,37.0,1448.4056382462231,2030885.0,,1.6417615693502732,84000037.0,USA,19363.73697998605,,2020-04-12,132
Texas,US,2020-08-22 04:30:29,31.0545,-97.5635,585632,11418,438825.0,135389.0,48.0,2019.7075577734643,4580026.0,,1.949688541609748,84000048.0,USA,15795.436600115718,,2020-04-12,132
Arizona,US,2020-07-06 04:34:10,33.7298,-111.4312,98103,1825,11361.0,84917.0,4.0,1347.8062136500155,604362.0,5161.0,1.8602896955240917,84000004.0,USA,8303.139138394858,5.260797325260187,2020-04-12,85
California,US,2020-07-06 04:34:10,36.1162,-119.6816,264681,6373,,258308.0,6.0,669.8711940353243,4680138.0,,2.407804111364246,84000006.0,USA,11844.785346549597,,2020-04-12,85
Florida,US,2020-07-06 04:34:10,27.7663,-81.6868,200111,3731,,196380.0,12.0,931.7136158246094,2200199.0,16201.0,1.8644652218019,84000012.0,USA,10244.09135841453,8.096006716272468,2020-04-12,85
Georgia,US,2020-07-06 04:34:10,33.0406,-83.6431,95516,2860,,92656.0,13.0,899.6156600335129,949185.0,11775.0,2.9942627413208265,84000013.0,USA,8939.881174556198,12.327777545123329,2020-04-12,85
Illinois,US,2020-07-06 04:34:10,40.3495,-88.9861,147251,7020,,140231.0,17.0,1162.0350382158965,1762828.0,,4.767370000882846,84000017.0,USA,13911.402315420964,,2020-04-12,85
New Jersey,US,2020-07-06 04:34:10,40.2989,-74.521,173402,15211,30660.0,127531.0,34.0,1952.2437597034063,1534640.0,20237.0,8.7721018212016,84000034.0,USA,17277.720922430166,11.670568966909265,2020-04-12,85
New York,US,2020-07-06 04:34:10,42.1657,-74.9481,397131,32206,70968.0,293957.0,36.0,2041.4308722192307,4233803.0,89995.0,8.109666583570661,84000036.0,USA,21763.640086254643,22.661288088817038,2020-04-12,85
North Carolina,US,2020-07-06 04:34:10,35.6301,-79.8064,72992,1423,45538.0,26031.0,37.0,695.9517105316852,1036838.0,,1.9495287154756689,84000037.0,USA,9885.866665446234,,2020-04-12,85
Texas,US,2020-07-06 04:34:10,31.0545,-97.5635,194932,2628,100843.0,91461.0,48.0,672.2747965478269,2133457.0,,1.3481624361315738,84000048.0,USA,7357.793336232826,,2020-04-12,85
Arizona,US,2020-07-05 04:34:00,33.7298,-111.4312,94567,1817,10903.0,81847.0,4.0,1299.2262235226347,589508.0,5068.0,1.9213890680681425,84000004.0,USA,8099.064711541883,5.359163344507069,2020-04-12,84
California,US,2020-07-05 04:34:00,36.1162,-119.6816,252895,6334,,246561.0,6.0,640.0424496490617,4553031.0,,2.5045967694102296,84000006.0,USA,11523.09501796444,,2020-04-12,84
Florida,US,2020-07-05 04:34:00,27.7663,-81.6868,190052,3702,,186350.0,12.0,884.8790726881515,2146497.0,16040.0,1.9478879464567591,84000012.0,USA,9994.055705216988,8.439795424410162,2020-04-12,84
Georgia,US,2020-07-05 04:34:00,33.0406,-83.6431,93319,2857,,90462.0,13.0,878.9232566132102,926359.0,11743.0,3.061541593887633,84000013.0,USA,8724.894920358734,12.583718213868556,2020-04-12,84
Illinois,US,2020-07-05 04:34:00,40.3495,-88.9861,146612,7014,,139598.0,17.0,1156.9923533484255,1735593.0,,4.784055875371728,84000017.0,USA,13696.47661531835,,2020-04-12,84
New Jersey,US,2020-07-05 04:34:00,40.2989,-74.521,173033,15189,30565.0,127279.0,34.0,1948.089378858142,1508548.0,20233.0,8.778094351944427,84000034.0,USA,16983.964540276666,11.693145238191557,2020-04-12,84
New York,US,2020-07-05 04:34:00,42.1657,-74.9481,396598,32157,70877.0,293564.0,36.0,2038.691013948552,4170388.0,89995.0,8.108210328846843,84000036.0,USA,21437.658637408334,22.691743276567202,2020-04-12,84
North Carolina,US,2020-07-05 04:34:00,35.6301,-79.8064,71670,1422,45538.0,24710.0,37.0,683.3469297156659,1018296.0,,1.9840937630807869,84000037.0,USA,9709.075556603091,,2020-04-12,84
Texas,US,2020-07-05 04:34:00,31.0545,-97.5635,192153,2607,97430.0,92116.0,48.0,662.6906766516253,2071809.0,,1.356731354701722,84000048.0,USA,7145.1838280064685,,2020-04-12,84
Arizona,US,2020-08-01 04:36:46,33.7298,-111.4312,174010,3694,22714.0,147602.0,4.0,2390.6685752447856,933743.0,11260.0,2.1228665019251767,84000004.0,USA,12828.400939341369,6.470892477443825,2020-04-12,111
California,US,2020-08-01 04:36:46,36.1162,-119.6816,500556,9214,,491342.0,6.0,1266.8383654344125,7811041.0,,1.84075308257218,84000006.0,USA,19768.670064450693,,2020-04-12,111
Florida,US,2020-08-01 04:36:46,27.7663,-81.6868,470386,6843,,463543.0,12.0,2190.109693586433,3628088.0,26905.0,1.4547626842635624,84000012.0,USA,16892.319707611652,5.7197705714030596,2020-04-12,111
